doc_id,source,dataset,cohort,published_at,title,url,cjk_chars,ershi_count,ershi_per_10000_cjk,known_translation,title_ershi_count,admission_status
213dcab213f816c7c548fc09,infoq,pilot,post,2026-04-24,Snowflake Cortex Code 的规范驱动开发：将 SDLC 方法论引入 AI 辅助工作流 ｜ 技术实践,https://www.infoq.cn/article/o8dh3dRH6Kk8vzrzKdJd,4723,3,6.351894982002964,False,0,diagnostic_pilot_not_clean_corpus
3c60dc0a981b686870095450,infoq,pilot,post,2026-06-26,当 Agent 成为新的核心云用户：阿里云重新定义“用云范式”,https://www.infoq.cn/article/s6TAS5JMIW1miPSqIsk0,3877,8,20.634511220015476,False,0,diagnostic_pilot_not_clean_corpus
44aa81958a6c585ee8c06847,infoq,pilot,post,2026-01-16,拒绝传统Router“瞎指挥”，多智能体如何实现智能任务分配？,https://www.infoq.cn/article/cYlRMETcNGxhDvBqCDII,1296,5,38.58024691358025,False,0,diagnostic_pilot_not_clean_corpus
0431c592d5de8246cebcb8e2,infoq,pilot,post,2025-10-05,5个月内失败十几次，几人团队在压力下做出爆款App！网友：AI时代懂人性比懂技术更重要,https://www.infoq.cn/article/zYz0h5ygZd1M3cuWfUam,2772,5,18.037518037518037,False,0,diagnostic_pilot_not_clean_corpus
48bda219eb0776f623161899,infoq,pilot,post,2026-01-29,世界模型混战，蚂蚁炸出开源牌,https://www.infoq.cn/article/hmKcZ2hdjDk3SspgikfV,5068,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
b186cdd4f9004e0413395bf3,infoq,pilot,post,2026-05-06,第一个全职AI CEO来了！29岁前编程神童正让AI替他管理千人公司,https://www.infoq.cn/article/F7cOsyYyhcBaHUYD5kYx,13714,11,8.021000437509114,True,0,diagnostic_pilot_not_clean_corpus
084c17f921cc74b858d04cdb,infoq,pilot,post,2026-05-22,阶跃星辰副总裁俞刚确认出席AICon上海站，分享多模态生成与理解的架构演进,https://www.infoq.cn/article/VcK5bVdskQZ2j7uEdbvN,746,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
b77b09a419c1631227112f0c,infoq,pilot,post,2026-03-27,aiXcoder全新推出代码变更应用模型aiX-apply-4B，效果比肩DeepSeek-V3.2，推理效率提升15倍,https://www.infoq.cn/article/aFl3mHPMjIGb6mZX5Dv1,1423,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
48a7a6192771112323fd6820,infoq,pilot,post,2026-02-24,当AI开始学做⼈：逐句解读OpenClaw的AgentS.md ——SOUL.md定义了灵魂，AgentS.md教会它怎么活,https://www.infoq.cn/article/6DDhlbmtGRomwDCHh4Ts,8901,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
a127f5baf364930a89fb4005,infoq,pilot,post,2025-10-23,性能飞跃！ClickHouse 处理复杂 JSON，速度提升58倍，内存减少3300倍,https://www.infoq.cn/article/3EJlljs8O1UyuWfEMB1H,2163,1,4.623208506703652,False,0,diagnostic_pilot_not_clean_corpus
1a5bf7a3c811a61f24384560,jiqizhixin,pilot,pre,2022-06-06,领克发布智能电混技术，全新设计语言概念车The Next Day亮相,https://www.jiqizhixin.com/articles/2022-06-06-21,1983,1,5.0428643469490675,False,0,diagnostic_pilot_not_clean_corpus
2046a00e2b504539234c6c70,jiqizhixin,pilot,pre,2022-06-24,Target 系列论坛 | 「多模态AI视频分析：技术及应用」线上直播回顾,https://www.jiqizhixin.com/articles/2022-06-24-2,2497,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
2176304c3523784c901e14e0,jiqizhixin,pilot,pre,2022-06-28,清华徐勇、段文晖研究组开发出高效精确的第一性原理电子结构深度学习方法与程序,https://www.jiqizhixin.com/articles/2022-06-28-2,991,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
34be1e39038614fec204e995,jiqizhixin,pilot,pre,2022-06-26,更准更快的YOLOv6来了，美团出品并开源,https://www.jiqizhixin.com/articles/2022-06-26-2,3136,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
365b2ce9d1ca06a959567252,jiqizhixin,pilot,pre,2022-06-07,百发百中篮板「最后的进化」：篮筐学会了主动找球，躺着、用脚都能投中,https://www.jiqizhixin.com/articles/2022-06-07-5,1136,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
69abca8744c1316fa7b64945,jiqizhixin,pilot,pre,2022-06-03,Meta AI战略大转型：组织结构拆散，负责人离职,https://www.jiqizhixin.com/articles/2022-06-03-3,1138,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
728a99c83fb531b12cc55802,jiqizhixin,pilot,pre,2022-06-23,对标Copilot，国内首个：自然语言一键生成方法级代码aiXcoder XL来了,https://www.jiqizhixin.com/articles/2022-06-23-4,2076,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
764d1aba4f71b3a0f5d071c2,jiqizhixin,pilot,pre,2022-06-23,从流程自动化迈入认知决策自动化，数字员工如何锻造「数智力」,https://www.jiqizhixin.com/articles/2022-06-23-18,3255,2,6.1443932411674345,False,0,diagnostic_pilot_not_clean_corpus
9b964dd771030c4c78575a88,jiqizhixin,pilot,pre,2022-06-14,AAAI 2022 | 传统GAN修改后可解释，并保证卷积核可解释性和生成图像真实性,https://www.jiqizhixin.com/articles/2022-06-14-8,1944,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
aa8f2104314751c5873dbab7,jiqizhixin,pilot,pre,2022-06-06,机器人大牛Rodney Brooks体验Cruise无人车：避开「可怕」街区，难以应对施工场景,https://www.jiqizhixin.com/articles/2022-06-06-4,3529,1,2.8336639274582036,False,0,diagnostic_pilot_not_clean_corpus
8bfb7b3e6b210126548b7f0c,infoq,staging,post,2025-12-05,Apache Doris 在小米统一 OLAP 和湖仓一体的实践,https://www.infoq.cn/article/yGwXLYsrhMDwUqoYgMsh,3176,1,3.1486146095717884,False,0,unreviewed_staging_not_admitted
0be079018045fbf1f2d47d7f,infoq,staging,post,2025-12-16,Codex负责人打脸Cursor CEO“规范驱动开发论”！18天造Sora爆款，靠智能体24小时不停跑，曝OpenAI狂飙内幕,https://www.infoq.cn/article/Gqltf7tslmJY8iK9GXLo,17540,19,10.832383124287343,False,0,unreviewed_staging_not_admitted
c526ed941b8de39a5388df3d,infoq,staging,post,2026-01-13,Anthropic深夜放出王炸！白领饭碗要被AI砸了？网友：不支持Linux，差评,https://www.infoq.cn/article/UN16P0pugHNutuMbgrNl,2669,8,29.973772948669914,False,0,unreviewed_staging_not_admitted
577ba2d1fd46fae48e0ad5d2,infoq,staging,post,2026-02-09,如何对应用进行冷启动优化？,https://www.infoq.cn/article/jBHvjgz11gvzGRJf818T,226,0,0.0,False,0,unreviewed_staging_not_admitted
9d2686869fb90420de5a6d40,infoq,staging,post,2025-12-22,Yelp 发布大规模管理 S3 服务器访问日志的方案,https://www.infoq.cn/article/yYvYwDZJOIEVI2h1rKvq,1301,0,0.0,True,0,unreviewed_staging_not_admitted
21fb54b8f31d94d5f58b2b86,infoq,staging,post,2026-03-06,元服务如何获取/设置屏幕亮度？,https://www.infoq.cn/article/DsLsUs6SNlB6M4FFMIar,138,0,0.0,False,0,unreviewed_staging_not_admitted
9656e09a0c8ef6938c517cef,infoq,staging,post,2026-04-08,Nuxt Test Utils v4：基于Vitest v4，重构mock机制并强化环境的初始化,https://www.infoq.cn/article/lzR34rSWkua5awOg8LFJ,937,1,10.672358591248665,True,0,unreviewed_staging_not_admitted
83e3fb47524511fba7945931,infoq,staging,post,2026-04-13,Kubescape 4.0为Kubernetes带来运行时安全和AI智能体扫描,https://www.infoq.cn/article/FA7cwRtSJMI63GFiHFDX,1167,1,8.56898029134533,True,0,unreviewed_staging_not_admitted
6e1b7928a8a00ba027e8c8fa,infoq,staging,post,2026-01-27,让机器人“看清”三维世界，蚂蚁灵波开源LingBot-Depth模型,https://www.infoq.cn/article/WVlzEl33IYR1SH7mBssb,889,0,0.0,False,0,unreviewed_staging_not_admitted
a4007204435ea4d0895d0d46,infoq,staging,post,2025-12-16,培养 Data Superhero 的思维模式,https://www.infoq.cn/article/zef6xMixQVDouh7lG5PA,1377,2,14.524328249818446,False,0,unreviewed_staging_not_admitted
3fdc45a2c7759e78fc9013c9,infoq,staging,post,2026-06-01,Snowflake 换了战场：守住数据之后，要管住AI,https://www.infoq.cn/article/JCXUmEkVTBw3mjjtgwgY,2796,0,0.0,False,0,unreviewed_staging_not_admitted
5eccef97088993c9842a4e4c,infoq,staging,post,2025-10-30,Cursor 2.0发布：自研代码模型 Composer 上线，8 个代理并行，速度提升 4 倍,https://www.infoq.cn/article/QlBwolS6TLQ36PaYGYf5,626,0,0.0,False,0,unreviewed_staging_not_admitted
d679960cb6cb418eebb6b222,infoq,staging,pre,2021-09-27,动态性能分级策略在客户端上的实践,https://www.infoq.cn/article/omyedsPw1aNVgoWz0G61,3507,0,0.0,False,0,unreviewed_staging_not_admitted
550a11e0e8987efc94c654b7,infoq,staging,pre,2022-10-28,全面审查Twitter代码、当场炒掉CEO等众多高管：马斯克正式入主Twitter,https://www.infoq.cn/article/1jdi4LDTycjblozS8QwV,2166,2,9.233610341643583,False,0,unreviewed_staging_not_admitted
195940f04347559f68fbfdcb,infoq,staging,pre,2020-11-14,关于卫星定位，你想知道的一切,https://www.infoq.cn/article/UCkuyseRDMXYKpSpbHe2,5649,0,0.0,False,0,unreviewed_staging_not_admitted
8bdf575aae4fe9a3b509a492,infoq,staging,pre,2022-10-02,元宇宙相关岗位平均月薪1.85万元；台积电：砍单可以，降价免谈；特斯拉人形机器人“擎天柱”亮相 | AI一周资讯,https://www.infoq.cn/article/VLIDZiKBqtCyrMm8mjc1,4452,1,2.2461814914645104,False,0,unreviewed_staging_not_admitted
738c96bc2777301fdaf9f078,infoq,staging,pre,2021-12-03,云原生时代，CNStack 如何解决企业数字化转型难题？,https://www.infoq.cn/article/4CFTC0TgkMout6hFBxG2,6985,1,1.4316392269148175,False,0,unreviewed_staging_not_admitted
0c1bc051de0fc98fbcd0524d,infoq,staging,pre,2022-02-10,为什么变更感知对现代应用程序的排障工作非常重要,https://www.infoq.cn/article/mZ8qWjhqZyhDj7UfgTl1,3612,0,0.0,True,0,unreviewed_staging_not_admitted
2e0d0c6274b0a0e6a333fbb9,infoq,staging,pre,2022-01-13,Linux Mint 宣布与 Mozilla 达成新交易,https://www.infoq.cn/article/Ra4l1gamNjHqQ9ZNlaKQ,322,0,0.0,False,0,unreviewed_staging_not_admitted
2762aba55519d5e3e9349b17,infoq,staging,pre,2021-06-15,解析 React 性能利器 — Fiber,https://www.infoq.cn/article/PHir9fGyTSQtiAQ035gi,2493,0,0.0,False,0,unreviewed_staging_not_admitted
